Date,Open,High,Low,Close
12/04/2023,"36,089.38","36,238.18","36,029.69","36,204.44"
12/01/2023,"35,914.45","36,264.85","35,914.45","36,245.50"
11/30/2023,"35,596.57","35,970.70","35,592.22","35,950.89"
11/29/2023,"35,436.80","35,579.13","35,405.89","35,430.42"
11/28/2023,"35,332.13","35,518.67","35,307.73","35,416.98"
11/27/2023,"35,376.44","35,410.37","35,280.57","35,333.47"
11/24/2023,"35,299.90","35,399.44","35,299.90","35,390.15"
11/22/2023,"35,189.33","35,315.20","35,155.80","35,273.03"
11/21/2023,"35,104.84","35,118.04","35,038.44","35,088.29"
11/20/2023,"34,932.49","35,227.48","34,907.98","35,151.04"
11/17/2023,"34,964.82","35,028.22","34,882.82","34,947.28"
11/16/2023,"34,868.03","35,022.46","34,818.03","34,945.47"
11/15/2023,"34,906.72","35,051.10","34,868.48","34,991.21"
11/14/2023,"34,581.20","34,931.01","34,581.20","34,827.70"
11/13/2023,"34,259.25","34,405.84","34,205.81","34,337.87"
11/10/2023,"34,020.82","34,310.36","33,905.62","34,283.10"
11/09/2023,"34,163.71","34,167.54","33,859.77","33,891.94"
11/08/2023,"34,185.92","34,252.75","33,996.20","34,112.27"
11/07/2023,"34,075.65","34,206.98","34,026.72","34,152.60"
11/06/2023,"34,092.61","34,167.26","33,989.72","34,095.86"
11/03/2023,"33,988.83","34,163.63","33,946.60","34,061.32"
11/02/2023,"33,457.82","33,852.96","33,450.03","33,839.08"
11/01/2023,"33,081.87","33,337.15","33,010.85","33,274.58"
10/31/2023,"33,029.11","33,070.28","32,787.12","33,052.87"
10/30/2023,"32,537.54","33,002.97","32,537.54","32,928.96"
10/27/2023,"32,782.40","32,787.56","32,327.20","32,417.59"
10/26/2023,"33,017.17","33,105.03","32,743.99","32,784.30"
10/25/2023,"33,203.53","33,267.91","32,989.72","33,035.93"
10/24/2023,"33,089.64","33,272.19","32,988.43","33,141.38"
10/23/2023,"32,993.02","33,234.85","32,892.19","32,936.41"
10/20/2023,"33,365.27","33,425.77","33,118.12","33,127.28"
10/19/2023,"33,669.52","33,852.39","33,368.58","33,414.17"
10/18/2023,"33,960.25","33,991.51","33,598.64","33,665.08"
10/17/2023,"33,869.84","34,147.63","33,854.70","33,997.65"
10/16/2023,"33,832.42","34,088.98","33,832.42","33,984.54"
10/13/2023,"33,733.34","33,957.72","33,551.58","33,670.29"
10/12/2023,"33,845.65","33,863.80","33,455.60","33,631.14"
10/11/2023,"33,822.20","33,882.55","33,612.25","33,804.87"
10/10/2023,"33,683.41","33,898.22","33,604.32","33,739.30"
10/09/2023,"33,259.84","33,631.81","33,253.69","33,604.65"
10/06/2023,"33,040.70","33,557.69","32,846.94","33,407.58"
10/05/2023,"33,099.23","33,174.38","32,941.56","33,119.57"
10/04/2023,"33,034.18","33,156.45","32,873.23","33,129.55"
10/03/2023,"33,318.84","33,398.54","32,916.20","33,002.38"
10/02/2023,"33,455.50","33,511.91","33,219.56","33,433.35"
09/29/2023,"33,882.61","33,893.68","33,407.45","33,507.50"
09/28/2023,"33,519.44","33,777.90","33,473.50","33,666.34"
09/27/2023,"33,682.81","33,731.65","33,306.30","33,550.27"
09/26/2023,"33,862.68","33,879.93","33,569.60","33,618.88"
09/25/2023,"33,907.59","34,017.53","33,780.67","34,006.88"
09/22/2023,"34,077.08","34,156.15","33,947.24","33,963.84"
09/21/2023,"34,332.23","34,378.30","34,058.72","34,070.42"
09/20/2023,"34,575.50","34,776.28","34,434.29","34,440.88"
09/19/2023,"34,571.84","34,597.56","34,311.69","34,517.73"
09/18/2023,"34,612.29","34,725.06","34,545.35","34,624.30"
09/15/2023,"34,902.04","34,902.04","34,572.27","34,618.24"
09/14/2023,"34,687.50","34,977.97","34,687.50","34,907.11"
09/13/2023,"34,667.28","34,767.11","34,509.95","34,575.53"
09/12/2023,"34,620.02","34,852.61","34,560.55","34,645.99"
09/11/2023,"34,650.01","34,784.52","34,578.59","34,663.72"
09/08/2023,"34,487.41","34,627.85","34,473.57","34,576.59"
09/07/2023,"34,351.18","34,560.86","34,351.18","34,500.73"
09/06/2023,"34,611.68","34,611.68","34,291.56","34,443.19"
09/05/2023,"34,843.22","34,871.26","34,635.63","34,641.97"
09/01/2023,"34,876.24","34,979.18","34,720.70","34,837.71"
08/31/2023,"34,909.09","35,070.21","34,719.77","34,721.91"
08/30/2023,"34,847.80","35,025.57","34,811.74","34,890.24"
08/29/2023,"34,531.12","34,864.42","34,531.12","34,852.67"
08/28/2023,"34,441.64","34,652.91","34,441.64","34,559.98"
08/25/2023,"34,217.06","34,441.91","34,029.22","34,346.90"
08/24/2023,"34,439.83","34,694.68","34,093.65","34,099.42"
08/23/2023,"34,338.59","34,534.72","34,321.00","34,472.98"
08/22/2023,"34,494.17","34,514.04","34,256.84","34,288.83"
08/21/2023,"34,531.28","34,570.96","34,248.46","34,463.69"
08/18/2023,"34,368.36","34,587.07","34,263.19","34,500.66"
08/17/2023,"34,829.61","34,888.48","34,440.73","34,474.83"
08/16/2023,"34,914.96","35,133.56","34,757.37","34,765.74"
08/15/2023,"35,219.37","35,219.37","34,908.50","34,946.39"
08/14/2023,"35,273.89","35,335.45","35,169.97","35,307.63"
08/11/2023,"35,111.36","35,354.60","35,059.99","35,281.40"
08/10/2023,"35,231.54","35,578.58","35,107.60","35,176.15"
08/09/2023,"35,324.28","35,370.89","35,058.73","35,123.36"
08/08/2023,"35,345.40","35,346.64","35,007.41","35,314.49"
08/07/2023,"35,125.60","35,497.38","35,125.60","35,473.13"
08/04/2023,"35,230.13","35,506.88","35,033.76","35,065.62"
08/03/2023,"35,194.56","35,348.20","35,122.32","35,215.89"
08/02/2023,"35,551.92","35,551.92","35,226.26","35,282.52"
08/01/2023,"35,585.99","35,679.13","35,526.61","35,630.68"
07/31/2023,"35,465.97","35,566.95","35,430.22","35,559.53"
07/28/2023,"35,443.49","35,565.51","35,355.15","35,459.29"
07/27/2023,"35,558.79","35,645.35","35,216.58","35,282.72"
07/26/2023,"35,345.99","35,633.61","35,306.27","35,520.12"
07/25/2023,"35,421.49","35,527.57","35,365.26","35,438.07"
07/24/2023,"35,230.79","35,463.97","35,230.79","35,411.24"
07/21/2023,"35,274.32","35,340.66","35,186.05","35,227.69"
07/20/2023,"35,091.98","35,372.77","35,091.98","35,225.18"
07/19/2023,"34,991.21","35,234.05","34,991.21","35,061.21"
07/18/2023,"34,597.08","34,986.36","34,530.61","34,951.93"
07/17/2023,"34,499.74","34,665.15","34,418.72","34,585.35"
07/14/2023,"34,425.33","34,592.26","34,425.33","34,509.03"
07/13/2023,"34,412.31","34,482.26","34,365.33","34,395.14"
07/12/2023,"34,395.28","34,586.94","34,308.78","34,347.43"
07/11/2023,"34,056.94","34,288.87","33,993.01","34,261.42"
07/10/2023,"33,705.68","33,958.36","33,705.68","33,944.40"
07/07/2023,"33,837.07","34,036.38","33,716.75","33,734.88"
07/06/2023,"34,171.39","34,171.39","33,771.47","33,922.26"
07/05/2023,"34,344.72","34,376.11","34,226.98","34,288.64"
07/03/2023,"34,369.78","34,465.60","34,286.54","34,418.47"
06/30/2023,"34,269.92","34,467.35","34,269.92","34,407.60"
06/29/2023,"33,854.57","34,147.68","33,828.63","34,122.42"
06/28/2023,"33,881.38","33,903.76","33,755.92","33,852.66"
06/27/2023,"33,739.03","33,975.65","33,730.39","33,926.74"
06/26/2023,"33,730.79","33,819.49","33,610.32","33,714.71"
06/23/2023,"33,835.66","33,835.66","33,646.49","33,727.43"
06/22/2023,"33,900.47","34,003.56","33,835.39","33,946.71"
06/21/2023,"33,990.56","34,097.93","33,876.17","33,951.52"
06/20/2023,"34,206.66","34,206.66","33,915.93","34,053.87"
06/16/2023,"34,464.02","34,588.68","34,285.69","34,299.12"
06/15/2023,"33,945.98","34,488.98","33,945.98","34,408.06"
06/14/2023,"34,044.70","34,151.42","33,783.55","33,979.33"
06/13/2023,"34,111.08","34,310.28","34,107.98","34,212.12"
06/12/2023,"33,906.80","34,077.84","33,878.46","34,066.33"
06/09/2023,"33,852.44","33,975.32","33,787.16","33,876.78"
06/08/2023,"33,656.98","33,873.81","33,630.04","33,833.61"
06/07/2023,"33,562.47","33,708.78","33,546.11","33,665.02"
06/06/2023,"33,547.67","33,631.25","33,399.69","33,573.28"
06/05/2023,"33,771.13","33,804.22","33,552.79","33,562.86"
06/02/2023,"33,187.58","33,805.00","33,187.58","33,762.76"
06/01/2023,"32,929.85","33,167.75","32,704.51","33,061.57"
05/31/2023,"32,948.71","32,984.83","32,739.73","32,908.27"
05/30/2023,"33,103.65","33,132.70","32,893.97","33,042.78"
05/26/2023,"32,795.50","33,162.06","32,795.50","33,093.34"
05/25/2023,"32,854.26","32,870.43","32,586.56","32,764.65"
05/24/2023,"33,021.76","33,031.75","32,752.44","32,799.92"
05/23/2023,"33,190.60","33,310.17","33,013.29","33,055.51"
05/22/2023,"33,408.54","33,512.30","33,207.85","33,286.58"
